DATA,CNPJ,MARCA,MODELO,CATEGORIA,VENDAS_UNIDADES,PRECO_MEDIO,ESTOQUE_DISPONIVEL,EM_PROMOCAO
8/1/2025,55.666.777/0001-01,Apple,iPhone 16 Pro,Smartphone,16,2639,82,NAO
8/1/2025,55.666.777/0001-01,OPPO,Find X7,Smartphone,12,8918,36,NAO
8/1/2025,55.666.777/0001-01,Xiaomi,14 Ultra,Smartphone,18,1955,17,NAO
8/1/2025,55.666.777/0001-01,Motorola,Edge 50,Smartphone,11,8713,113,NAO
8/1/2025,55.666.777/0001-01,Google,Pixel 9 Pro,Smartphone,6,8775,115,SIM
8/1/2025,55.666.777/0001-01,OnePlus,13 Pro,Smartphone,8,7953,98,NAO
8/1/2025,55.666.777/0001-01,Samsung,Galaxy Tab S9,Tablet,16,5026,71,NAO
8/1/2025,55.666.777/0001-01,Apple,iPad Pro M3,Tablet,10,5439,101,NAO
8/1/2025,55.666.777/0001-01,Samsung,Galaxy Watch 7,Smartwatch,4,8919,128,NAO
8/1/2025,55.666.777/0001-01,Apple,Apple Watch X,Smartwatch,6,6237,27,NAO
8/1/2025,55.666.777/0001-01,JBL,Tune 720BT,Fone de Ouvido,4,2727,142,NAO
8/1/2025,55.666.777/0001-01,Sony,WH-1000XM6,Fone de Ouvido,18,8356,32,NAO
8/1/2025,55.666.777/0001-02,Samsung,Galaxy S25,Smartphone,8,4478,35,NAO
8/1/2025,55.666.777/0001-02,Apple,iPhone 16 Pro,Smartphone,9,5457,72,NAO
8/1/2025,55.666.777/0001-02,OPPO,Find X7,Smartphone,6,4773,96,NAO
8/1/2025,55.666.777/0001-02,Xiaomi,14 Ultra,Smartphone,11,2947,111,SIM
8/1/2025,55.666.777/0001-02,Motorola,Edge 50,Smartphone,3,4772,120,NAO
8/1/2025,55.666.777/0001-02,Google,Pixel 9 Pro,Smartphone,9,5959,139,SIM
8/1/2025,55.666.777/0001-02,OnePlus,13 Pro,Smartphone,1,7708,70,NAO
8/1/2025,55.666.777/0001-02,Samsung,Galaxy Tab S9,Tablet,1,3474,95,NAO
8/1/2025,55.666.777/0001-02,Apple,iPad Pro M3,Tablet,2,2938,12,NAO
8/1/2025,55.666.777/0001-02,Samsung,Galaxy Watch 7,Smartwatch,17,8266,101,NAO
8/1/2025,55.666.777/0001-02,Apple,Apple Watch X,Smartwatch,2,7923,25,NAO
8/1/2025,55.666.777/0001-02,JBL,Tune 720BT,Fone de Ouvido,4,7165,126,NAO
8/1/2025,55.666.777/0001-02,Sony,WH-1000XM6,Fone de Ouvido,7,6932,144,NAO
8/1/2025,55.666.777/0001-03,Samsung,Galaxy S25,Smartphone,12,5316,68,NAO
8/1/2025,55.666.777/0001-03,Apple,iPhone 16 Pro,Smartphone,13,4923,117,NAO
8/1/2025,55.666.777/0001-03,OPPO,Find X7,Smartphone,12,3722,143,SIM
8/1/2025,55.666.777/0001-03,Xiaomi,14 Ultra,Smartphone,15,3442,21,NAO
8/1/2025,55.666.777/0001-03,Motorola,Edge 50,Smartphone,10,8239,19,NAO
8/1/2025,55.666.777/0001-03,Google,Pixel 9 Pro,Smartphone,8,7801,134,NAO
8/1/2025,55.666.777/0001-03,OnePlus,13 Pro,Smartphone,5,8669,89,SIM
8/1/2025,55.666.777/0001-03,Samsung,Galaxy Tab S9,Tablet,5,4053,134,NAO
8/1/2025,55.666.777/0001-03,Apple,iPad Pro M3,Tablet,10,6689,19,SIM
8/1/2025,55.666.777/0001-03,Samsung,Galaxy Watch 7,Smartwatch,14,3012,38,SIM
8/1/2025,55.666.777/0001-03,Apple,Apple Watch X,Smartwatch,4,5123,83,NAO
8/1/2025,55.666.777/0001-03,JBL,Tune 720BT,Fone de Ouvido,9,8739,134,NAO
8/1/2025,55.666.777/0001-03,Sony,WH-1000XM6,Fone de Ouvido,10,6195,139,SIM
8/1/2025,55.666.777/0001-04,Samsung,Galaxy S25,Smartphone,15,3138,112,NAO
8/1/2025,55.666.777/0001-04,Apple,iPhone 16 Pro,Smartphone,11,5043,84,NAO
8/1/2025,55.666.777/0001-04,OPPO,Find X7,Smartphone,7,2398,26,NAO
8/1/2025,55.666.777/0001-04,Xiaomi,14 Ultra,Smartphone,4,4025,63,NAO
8/1/2025,55.666.777/0001-04,Motorola,Edge 50,Smartphone,4,8635,70,NAO
8/1/2025,55.666.777/0001-04,Google,Pixel 9 Pro,Smartphone,20,5397,15,SIM
8/1/2025,55.666.777/0001-04,OnePlus,13 Pro,Smartphone,9,7393,54,SIM
8/1/2025,55.666.777/0001-04,Samsung,Galaxy Tab S9,Tablet,5,8587,127,NAO
8/1/2025,55.666.777/0001-04,Apple,iPad Pro M3,Tablet,4,3565,21,NAO
8/1/2025,55.666.777/0001-04,Samsung,Galaxy Watch 7,Smartwatch,8,5412,109,NAO
8/1/2025,55.666.777/0001-04,Apple,Apple Watch X,Smartwatch,6,8557,143,NAO
8/1/2025,55.666.777/0001-04,JBL,Tune 720BT,Fone de Ouvido,11,4900,54,NAO
8/1/2025,55.666.777/0001-04,Sony,WH-1000XM6,Fone de Ouvido,10,1783,118,NAO
8/1/2025,55.666.777/0001-05,Samsung,Galaxy S25,Smartphone,3,4008,60,NAO
8/1/2025,55.666.777/0001-05,Apple,iPhone 16 Pro,Smartphone,2,6799,67,NAO
8/1/2025,55.666.777/0001-05,OPPO,Find X7,Smartphone,5,6375,85,NAO
8/1/2025,55.666.777/0001-05,Xiaomi,14 Ultra,Smartphone,13,3179,83,NAO
8/1/2025,55.666.777/0001-05,Motorola,Edge 50,Smartphone,7,7232,95,NAO
8/1/2025,55.666.777/0001-05,Google,Pixel 9 Pro,Smartphone,2,3650,36,NAO
8/1/2025,55.666.777/0001-05,OnePlus,13 Pro,Smartphone,17,3368,92,NAO
8/1/2025,55.666.777/0001-05,Samsung,Galaxy Tab S9,Tablet,6,3745,70,NAO
8/1/2025,55.666.777/0001-05,Apple,iPad Pro M3,Tablet,2,4003,139,NAO
8/1/2025,55.666.777/0001-05,Samsung,Galaxy Watch 7,Smartwatch,18,7258,113,NAO
8/1/2025,55.666.777/0001-05,Apple,Apple Watch X,Smartwatch,3,8841,37,NAO
8/1/2025,55.666.777/0001-05,JBL,Tune 720BT,Fone de Ouvido,11,3233,80,NAO
8/1/2025,55.666.777/0001-05,Sony,WH-1000XM6,Fone de Ouvido,18,5705,137,NAO
8/1/2025,55.666.777/0001-06,Samsung,Galaxy S25,Smartphone,17,8328,128,NAO
8/1/2025,55.666.777/0001-06,Apple,iPhone 16 Pro,Smartphone,7,2057,68,NAO
8/1/2025,55.666.777/0001-06,OPPO,Find X7,Smartphone,10,7102,146,NAO
8/1/2025,55.666.777/0001-06,Xiaomi,14 Ultra,Smartphone,4,8001,52,NAO
8/1/2025,55.666.777/0001-06,Motorola,Edge 50,Smartphone,18,2833,126,SIM
8/1/2025,55.666.777/0001-06,Google,Pixel 9 Pro,Smartphone,19,7244,109,SIM
8/1/2025,55.666.777/0001-06,OnePlus,13 Pro,Smartphone,6,2766,121,NAO
8/1/2025,55.666.777/0001-06,Samsung,Galaxy Tab S9,Tablet,3,8696,109,NAO
8/1/2025,55.666.777/0001-06,Apple,iPad Pro M3,Tablet,9,3956,53,NAO
8/1/2025,55.666.777/0001-06,Samsung,Galaxy Watch 7,Smartwatch,15,2798,33,NAO
8/1/2025,55.666.777/0001-06,Apple,Apple Watch X,Smartwatch,8,5424,145,SIM
8/1/2025,55.666.777/0001-06,JBL,Tune 720BT,Fone de Ouvido,18,6836,92,NAO
8/1/2025,55.666.777/0001-06,Sony,WH-1000XM6,Fone de Ouvido,5,2843,141,SIM
8/1/2025,55.666.777/0001-07,Samsung,Galaxy S25,Smartphone,14,5844,135,NAO
8/1/2025,55.666.777/0001-07,Apple,iPhone 16 Pro,Smartphone,13,8879,65,NAO
8/1/2025,55.666.777/0001-07,OPPO,Find X7,Smartphone,9,6658,148,NAO
8/1/2025,55.666.777/0001-07,Xiaomi,14 Ultra,Smartphone,2,7054,46,NAO
8/1/2025,55.666.777/0001-07,Motorola,Edge 50,Smartphone,4,8942,148,NAO
8/1/2025,55.666.777/0001-07,Google,Pixel 9 Pro,Smartphone,6,5328,63,NAO
8/1/2025,55.666.777/0001-07,OnePlus,13 Pro,Smartphone,7,2747,58,NAO
8/1/2025,55.666.777/0001-07,Samsung,Galaxy Tab S9,Tablet,19,6383,28,NAO
8/1/2025,55.666.777/0001-07,Apple,iPad Pro M3,Tablet,14,6028,87,NAO
8/1/2025,55.666.777/0001-07,Samsung,Galaxy Watch 7,Smartwatch,20,6521,129,SIM
8/1/2025,55.666.777/0001-07,Apple,Apple Watch X,Smartwatch,16,6086,63,NAO
8/1/2025,55.666.777/0001-07,JBL,Tune 720BT,Fone de Ouvido,18,4093,71,NAO
8/1/2025,55.666.777/0001-07,Sony,WH-1000XM6,Fone de Ouvido,14,4826,37,NAO
8/1/2025,55.666.777/0001-08,Samsung,Galaxy S25,Smartphone,13,7490,75,NAO
8/1/2025,55.666.777/0001-08,Apple,iPhone 16 Pro,Smartphone,2,3789,23,NAO
8/1/2025,55.666.777/0001-08,OPPO,Find X7,Smartphone,7,8448,40,NAO
8/1/2025,55.666.777/0001-08,Xiaomi,14 Ultra,Smartphone,4,5054,69,SIM
8/1/2025,55.666.777/0001-08,Motorola,Edge 50,Smartphone,6,5634,94,SIM
8/1/2025,55.666.777/0001-08,Google,Pixel 9 Pro,Smartphone,6,2059,144,NAO
8/1/2025,55.666.777/0001-08,OnePlus,13 Pro,Smartphone,17,2800,147,NAO
8/1/2025,55.666.777/0001-08,Samsung,Galaxy Tab S9,Tablet,8,8186,34,NAO
8/1/2025,55.666.777/0001-08,Apple,iPad Pro M3,Tablet,17,2763,34,SIM
8/1/2025,55.666.777/0001-08,Samsung,Galaxy Watch 7,Smartwatch,1,4710,144,SIM
8/1/2025,55.666.777/0001-08,Apple,Apple Watch X,Smartwatch,1,6675,126,NAO
8/1/2025,55.666.777/0001-08,JBL,Tune 720BT,Fone de Ouvido,10,4706,22,NAO
8/1/2025,55.666.777/0001-08,Sony,WH-1000XM6,Fone de Ouvido,10,3089,108,NAO
8/1/2025,55.666.777/0001-09,Samsung,Galaxy S25,Smartphone,16,6012,35,NAO
8/1/2025,55.666.777/0001-09,Apple,iPhone 16 Pro,Smartphone,10,3708,71,NAO
8/1/2025,55.666.777/0001-09,OPPO,Find X7,Smartphone,15,3203,76,NAO
8/1/2025,55.666.777/0001-09,Xiaomi,14 Ultra,Smartphone,4,1519,62,NAO
8/1/2025,55.666.777/0001-09,Motorola,Edge 50,Smartphone,3,1594,14,NAO
8/1/2025,55.666.777/0001-09,Google,Pixel 9 Pro,Smartphone,19,8169,141,NAO
8/1/2025,55.666.777/0001-09,OnePlus,13 Pro,Smartphone,15,6841,20,NAO
8/1/2025,55.666.777/0001-09,Samsung,Galaxy Tab S9,Tablet,14,3435,85,SIM
8/1/2025,55.666.777/0001-09,Apple,iPad Pro M3,Tablet,1,8539,58,SIM
8/1/2025,55.666.777/0001-09,Samsung,Galaxy Watch 7,Smartwatch,17,2145,143,NAO
8/1/2025,55.666.777/0001-09,Apple,Apple Watch X,Smartwatch,19,2311,72,NAO
8/1/2025,55.666.777/0001-09,JBL,Tune 720BT,Fone de Ouvido,16,7861,30,SIM
8/1/2025,55.666.777/0001-09,Sony,WH-1000XM6,Fone de Ouvido,2,5635,131,NAO
8/1/2025,55.666.777/0001-10,Samsung,Galaxy S25,Smartphone,10,2140,119,NAO
8/1/2025,55.666.777/0001-10,Apple,iPhone 16 Pro,Smartphone,5,8347,46,NAO
8/1/2025,55.666.777/0001-10,OPPO,Find X7,Smartphone,7,4493,74,NAO
8/1/2025,55.666.777/0001-10,Xiaomi,14 Ultra,Smartphone,8,3347,26,SIM
8/1/2025,55.666.777/0001-10,Motorola,Edge 50,Smartphone,4,4817,33,NAO
8/1/2025,55.666.777/0001-10,Google,Pixel 9 Pro,Smartphone,15,5149,18,SIM
8/1/2025,55.666.777/0001-10,OnePlus,13 Pro,Smartphone,20,6824,141,NAO
8/1/2025,55.666.777/0001-10,Samsung,Galaxy Tab S9,Tablet,8,1880,121,NAO
8/1/2025,55.666.777/0001-10,Apple,iPad Pro M3,Tablet,15,2178,87,NAO
8/1/2025,55.666.777/0001-10,Samsung,Galaxy Watch 7,Smartwatch,13,5426,63,NAO
8/1/2025,55.666.777/0001-10,Apple,Apple Watch X,Smartwatch,10,5506,48,NAO
8/1/2025,55.666.777/0001-10,JBL,Tune 720BT,Fone de Ouvido,17,5347,28,NAO
8/1/2025,55.666.777/0001-10,Sony,WH-1000XM6,Fone de Ouvido,8,4375,81,NAO
8/1/2025,55.666.777/0001-11,Samsung,Galaxy S25,Smartphone,14,4424,100,NAO
8/1/2025,55.666.777/0001-11,Apple,iPhone 16 Pro,Smartphone,3,8396,57,NAO
8/1/2025,55.666.777/0001-11,OPPO,Find X7,Smartphone,3,4137,90,SIM
8/1/2025,55.666.777/0001-11,Xiaomi,14 Ultra,Smartphone,10,7854,114,SIM
8/1/2025,55.666.777/0001-11,Motorola,Edge 50,Smartphone,10,5268,124,NAO
8/1/2025,55.666.777/0001-11,Google,Pixel 9 Pro,Smartphone,12,1612,93,NAO
8/1/2025,55.666.777/0001-11,OnePlus,13 Pro,Smartphone,4,7550,141,SIM
8/1/2025,55.666.777/0001-11,Samsung,Galaxy Tab S9,Tablet,16,7993,147,NAO
8/1/2025,55.666.777/0001-11,Apple,iPad Pro M3,Tablet,20,8149,43,NAO
8/1/2025,55.666.777/0001-11,Samsung,Galaxy Watch 7,Smartwatch,1,8430,27,NAO
8/1/2025,55.666.777/0001-11,Apple,Apple Watch X,Smartwatch,15,8372,14,SIM
8/1/2025,55.666.777/0001-11,JBL,Tune 720BT,Fone de Ouvido,3,2900,128,NAO
8/1/2025,55.666.777/0001-11,Sony,WH-1000XM6,Fone de Ouvido,14,8593,123,NAO
8/1/2025,84.917.908/0001-16,Samsung,Galaxy S25,Smartphone,8,7867,11,NAO
8/1/2025,84.917.908/0001-16,Apple,iPhone 16 Pro,Smartphone,13,8807,94,NAO
8/1/2025,84.917.908/0001-16,OPPO,Find X7,Smartphone,19,5297,43,SIM
8/1/2025,84.917.908/0001-16,Xiaomi,14 Ultra,Smartphone,19,7100,84,NAO
8/1/2025,84.917.908/0001-16,Motorola,Edge 50,Smartphone,1,5278,89,SIM
8/1/2025,84.917.908/0001-16,Google,Pixel 9 Pro,Smartphone,9,5455,40,NAO
8/1/2025,84.917.908/0001-16,OnePlus,13 Pro,Smartphone,1,1551,72,SIM
8/1/2025,84.917.908/0001-16,Samsung,Galaxy Tab S9,Tablet,16,5672,50,NAO
8/1/2025,84.917.908/0001-16,Apple,iPad Pro M3,Tablet,19,3570,88,NAO
8/1/2025,84.917.908/0001-16,Samsung,Galaxy Watch 7,Smartwatch,17,2342,94,NAO
8/1/2025,84.917.908/0001-16,Apple,Apple Watch X,Smartwatch,7,4724,86,NAO
8/1/2025,84.917.908/0001-16,JBL,Tune 720BT,Fone de Ouvido,13,3181,73,NAO
8/1/2025,84.917.908/0001-16,Sony,WH-1000XM6,Fone de Ouvido,6,7446,135,NAO
8/1/2025,57.170.924/0001-61,Samsung,Galaxy S25,Smartphone,15,8156,32,NAO
8/1/2025,57.170.924/0001-61,Apple,iPhone 16 Pro,Smartphone,15,6597,145,NAO
8/1/2025,57.170.924/0001-61,OPPO,Find X7,Smartphone,16,2869,15,NAO
8/1/2025,57.170.924/0001-61,Xiaomi,14 Ultra,Smartphone,4,5327,138,NAO
8/1/2025,57.170.924/0001-61,Motorola,Edge 50,Smartphone,5,6756,114,NAO
8/1/2025,57.170.924/0001-61,Google,Pixel 9 Pro,Smartphone,7,2437,71,NAO
8/1/2025,57.170.924/0001-61,OnePlus,13 Pro,Smartphone,13,8112,139,SIM
8/1/2025,57.170.924/0001-61,Samsung,Galaxy Tab S9,Tablet,15,2202,26,NAO
8/1/2025,57.170.924/0001-61,Apple,iPad Pro M3,Tablet,14,1806,141,NAO
8/1/2025,57.170.924/0001-61,Samsung,Galaxy Watch 7,Smartwatch,17,6457,147,NAO
8/1/2025,57.170.924/0001-61,Apple,Apple Watch X,Smartwatch,7,2003,71,NAO
8/1/2025,57.170.924/0001-61,JBL,Tune 720BT,Fone de Ouvido,18,7930,120,NAO
8/1/2025,57.170.924/0001-61,Sony,WH-1000XM6,Fone de Ouvido,3,2303,129,NAO
8/1/2025,72.240.302/0001-89,Samsung,Galaxy S25,Smartphone,18,5365,39,NAO
8/1/2025,72.240.302/0001-89,Apple,iPhone 16 Pro,Smartphone,2,7281,80,NAO
8/1/2025,72.240.302/0001-89,OPPO,Find X7,Smartphone,17,4059,126,NAO
8/1/2025,72.240.302/0001-89,Xiaomi,14 Ultra,Smartphone,11,5342,94,NAO
8/1/2025,72.240.302/0001-89,Motorola,Edge 50,Smartphone,19,1852,39,NAO
8/1/2025,72.240.302/0001-89,Google,Pixel 9 Pro,Smartphone,10,4651,59,NAO
8/1/2025,72.240.302/0001-89,OnePlus,13 Pro,Smartphone,9,6077,23,NAO
8/1/2025,72.240.302/0001-89,Samsung,Galaxy Tab S9,Tablet,10,3563,96,NAO
8/1/2025,72.240.302/0001-89,Apple,iPad Pro M3,Tablet,19,4772,108,NAO
8/1/2025,72.240.302/0001-89,Samsung,Galaxy Watch 7,Smartwatch,17,3258,93,NAO
8/1/2025,72.240.302/0001-89,Apple,Apple Watch X,Smartwatch,15,3777,29,NAO
8/1/2025,72.240.302/0001-89,JBL,Tune 720BT,Fone de Ouvido,13,5474,104,SIM
8/1/2025,72.240.302/0001-89,Sony,WH-1000XM6,Fone de Ouvido,13,5374,21,SIM
8/1/2025,33.676.455/0001-55,Samsung,Galaxy S25,Smartphone,4,6626,136,NAO
8/1/2025,33.676.455/0001-55,Apple,iPhone 16 Pro,Smartphone,4,4186,20,NAO
8/1/2025,33.676.455/0001-55,OPPO,Find X7,Smartphone,7,4583,22,NAO
8/1/2025,33.676.455/0001-55,Xiaomi,14 Ultra,Smartphone,16,2790,118,NAO
8/1/2025,33.676.455/0001-55,Motorola,Edge 50,Smartphone,8,8463,76,SIM
8/1/2025,33.676.455/0001-55,Google,Pixel 9 Pro,Smartphone,7,5652,67,NAO
8/1/2025,33.676.455/0001-55,OnePlus,13 Pro,Smartphone,10,6710,110,SIM
8/1/2025,33.676.455/0001-55,Samsung,Galaxy Tab S9,Tablet,4,2085,107,NAO
8/1/2025,33.676.455/0001-55,Apple,iPad Pro M3,Tablet,18,3620,13,SIM
8/1/2025,33.676.455/0001-55,Samsung,Galaxy Watch 7,Smartwatch,1,7013,92,SIM
8/1/2025,33.676.455/0001-55,Apple,Apple Watch X,Smartwatch,12,8135,64,NAO
8/1/2025,33.676.455/0001-55,JBL,Tune 720BT,Fone de Ouvido,17,5966,103,NAO
8/1/2025,33.676.455/0001-55,Sony,WH-1000XM6,Fone de Ouvido,16,2014,132,NAO
8/1/2025,34.848.334/0001-52,Samsung,Galaxy S25,Smartphone,19,7657,125,SIM
8/1/2025,34.848.334/0001-52,Apple,iPhone 16 Pro,Smartphone,12,6604,128,NAO
8/1/2025,34.848.334/0001-52,OPPO,Find X7,Smartphone,2,1588,148,NAO
8/1/2025,34.848.334/0001-52,Xiaomi,14 Ultra,Smartphone,5,2587,67,NAO
8/1/2025,34.848.334/0001-52,Motorola,Edge 50,Smartphone,16,3077,31,NAO
8/1/2025,34.848.334/0001-52,Google,Pixel 9 Pro,Smartphone,5,8927,18,NAO
8/1/2025,34.848.334/0001-52,OnePlus,13 Pro,Smartphone,12,7701,119,NAO
8/1/2025,34.848.334/0001-52,Samsung,Galaxy Tab S9,Tablet,6,2002,132,NAO
8/1/2025,34.848.334/0001-52,Apple,iPad Pro M3,Tablet,6,7992,39,NAO
8/1/2025,34.848.334/0001-52,Samsung,Galaxy Watch 7,Smartwatch,4,3575,62,NAO
8/1/2025,34.848.334/0001-52,Apple,Apple Watch X,Smartwatch,19,6480,123,NAO
8/1/2025,34.848.334/0001-52,JBL,Tune 720BT,Fone de Ouvido,17,7041,101,SIM
8/1/2025,34.848.334/0001-52,Sony,WH-1000XM6,Fone de Ouvido,6,2812,145,NAO
8/1/2025,26.329.418/0001-62,Samsung,Galaxy S25,Smartphone,15,8870,87,NAO
8/1/2025,26.329.418/0001-62,Apple,iPhone 16 Pro,Smartphone,15,8560,134,NAO
8/1/2025,26.329.418/0001-62,OPPO,Find X7,Smartphone,16,3351,114,NAO
8/1/2025,26.329.418/0001-62,Xiaomi,14 Ultra,Smartphone,5,5999,122,NAO
8/1/2025,26.329.418/0001-62,Motorola,Edge 50,Smartphone,1,6763,28,NAO
8/1/2025,26.329.418/0001-62,Google,Pixel 9 Pro,Smartphone,16,6454,140,NAO
8/1/2025,26.329.418/0001-62,OnePlus,13 Pro,Smartphone,9,3845,117,NAO
8/1/2025,26.329.418/0001-62,Samsung,Galaxy Tab S9,Tablet,13,8610,129,SIM
8/1/2025,26.329.418/0001-62,Apple,iPad Pro M3,Tablet,15,1996,69,SIM
8/1/2025,26.329.418/0001-62,Samsung,Galaxy Watch 7,Smartwatch,9,8642,145,SIM
8/1/2025,26.329.418/0001-62,Apple,Apple Watch X,Smartwatch,17,1734,27,NAO
8/1/2025,26.329.418/0001-62,JBL,Tune 720BT,Fone de Ouvido,13,2928,87,NAO
8/1/2025,26.329.418/0001-62,Sony,WH-1000XM6,Fone de Ouvido,20,7753,105,SIM
8/1/2025,95.993.235/0001-57,Samsung,Galaxy S25,Smartphone,2,6361,20,NAO
8/1/2025,95.993.235/0001-57,Apple,iPhone 16 Pro,Smartphone,11,2485,118,NAO
8/1/2025,95.993.235/0001-57,OPPO,Find X7,Smartphone,17,6652,104,NAO
8/1/2025,95.993.235/0001-57,Xiaomi,14 Ultra,Smartphone,16,3886,109,NAO
8/1/2025,95.993.235/0001-57,Motorola,Edge 50,Smartphone,18,6747,55,NAO
8/1/2025,95.993.235/0001-57,Google,Pixel 9 Pro,Smartphone,12,8069,148,NAO
8/1/2025,95.993.235/0001-57,OnePlus,13 Pro,Smartphone,10,5901,91,NAO
8/1/2025,95.993.235/0001-57,Samsung,Galaxy Tab S9,Tablet,14,4800,79,NAO
8/1/2025,95.993.235/0001-57,Apple,iPad Pro M3,Tablet,4,7567,35,SIM
8/1/2025,95.993.235/0001-57,Samsung,Galaxy Watch 7,Smartwatch,7,3504,32,NAO
8/1/2025,95.993.235/0001-57,Apple,Apple Watch X,Smartwatch,3,5122,48,NAO
8/1/2025,95.993.235/0001-57,JBL,Tune 720BT,Fone de Ouvido,5,7805,129,NAO
8/1/2025,95.993.235/0001-57,Sony,WH-1000XM6,Fone de Ouvido,4,7621,80,NAO
8/1/2025,51.735.450/0001-27,Samsung,Galaxy S25,Smartphone,6,5021,124,SIM
8/1/2025,51.735.450/0001-27,Apple,iPhone 16 Pro,Smartphone,14,4893,75,NAO
8/1/2025,51.735.450/0001-27,OPPO,Find X7,Smartphone,4,8663,32,NAO
8/1/2025,51.735.450/0001-27,Xiaomi,14 Ultra,Smartphone,18,6251,123,NAO
8/1/2025,51.735.450/0001-27,Motorola,Edge 50,Smartphone,18,7873,68,SIM
8/1/2025,51.735.450/0001-27,Google,Pixel 9 Pro,Smartphone,13,5952,66,NAO
8/1/2025,51.735.450/0001-27,OnePlus,13 Pro,Smartphone,9,8625,139,SIM
8/1/2025,51.735.450/0001-27,Samsung,Galaxy Tab S9,Tablet,15,8778,93,NAO
8/1/2025,51.735.450/0001-27,Apple,iPad Pro M3,Tablet,9,6144,85,SIM
8/1/2025,51.735.450/0001-27,Samsung,Galaxy Watch 7,Smartwatch,5,1643,121,NAO
8/1/2025,51.735.450/0001-27,Apple,Apple Watch X,Smartwatch,18,5265,143,NAO
8/1/2025,51.735.450/0001-27,JBL,Tune 720BT,Fone de Ouvido,18,7631,129,NAO
8/1/2025,51.735.450/0001-27,Sony,WH-1000XM6,Fone de Ouvido,3,4271,44,NAO
8/1/2025,68.294.747/0001-22,Samsung,Galaxy S25,Smartphone,4,3296,94,NAO
8/1/2025,68.294.747/0001-22,Apple,iPhone 16 Pro,Smartphone,17,8244,63,NAO
8/1/2025,68.294.747/0001-22,OPPO,Find X7,Smartphone,5,4723,55,NAO
8/1/2025,68.294.747/0001-22,Xiaomi,14 Ultra,Smartphone,1,2773,122,NAO
8/1/2025,68.294.747/0001-22,Motorola,Edge 50,Smartphone,8,7056,110,NAO
8/1/2025,68.294.747/0001-22,Google,Pixel 9 Pro,Smartphone,11,3620,128,NAO
8/1/2025,68.294.747/0001-22,OnePlus,13 Pro,Smartphone,12,2688,119,NAO
8/1/2025,68.294.747/0001-22,Samsung,Galaxy Tab S9,Tablet,2,5419,41,NAO
8/1/2025,68.294.747/0001-22,Apple,iPad Pro M3,Tablet,6,5507,68,SIM
